55.7611850|37.5773290|Краснопресненская
55.7447266|37.5655060|Киевская
55.7933663|37.4938123|Октябрьское Поле
55.8504805|37.4397738|Сходненская
55.6636469|37.4832189|Юго-Западная
55.6926632|37.5332847|Университет
55.8887255|37.6918593|Аврора
55.7381678|37.6171996|Полянка
55.6529025|37.5984294|Каховская
59.9620935|30.3056717|Теремок
55.6675564|37.6585425|Вкусно — и точка
59.9668080|30.3110293|Вкусно — и точка
59.9666630|30.3114102|Rostic`s
55.6597390|37.7506688|Братиславская
59.9576695|30.3080406|Тбилисо
55.6772263|37.5060642|Проспект Вернадского
55.7654281|37.6074165|Пушкинская
55.7806261|37.6194895|Славянка
55.6424926|37.3612080|Тануки
55.8851057|37.6023619|Вкусно — и точка
55.7898682|37.7656104|Лукойл
55.7175439|37.6081274|"Библиотека 164 ""Просвещение трудящихся"""
60.0197539|30.6466614|Кинополис
55.7415156|37.5376119|Альфа-Банк
60.0588683|30.3373775|Rostic's
59.9001432|30.2721387|Вкусно — и точка
59.9305504|30.3726392|Тара Бруч
55.5096769|37.8342611|Лукойл
59.8517960|30.3508779|Вкусно — и точка
59.9945009|30.1478850|Вкусно — и точка
60.0081631|30.2971914|Вкусно — и точка
60.0110850|30.3967954|Вкусно — и точка
55.7412838|37.6273084|Третьяковская
55.7715816|37.6814166|Вкусно — и точка
59.9091262|30.4791166|Munhell
55.8653693|37.7040352|Кофе Хауз
55.8091793|37.5051775|У Адама
55.7576428|37.6586654|Кофе Хауз
55.8599013|37.6590427|Бирлайн
59.9902475|30.2568010|
55.5484151|37.5428667|Вкусно — и точка
55.7304479|37.6342593|Гудман
55.7305169|37.6352842|Шоколадница
60.0293388|30.3988145|Мацони
59.9666872|30.2849134|ЕвроАвто
55.7955780|37.7008858|Пиро Тренд
59.8474233|30.3305132|PulkoffClub
55.7897921|37.6809206|Му-Му
60.0113861|30.3945728|Beer House
55.5836505|37.5990211|Вкусно — и точка
55.8879388|37.6627264|Вкусно — и точка
55.8603061|37.4483248|Легенда
55.7399858|37.6638747|Колбасофф
55.8457543|37.3622259|Митино
55.6604140|37.7518664|Киномакс Солярис
55.8020796|37.5081211|Vasilchuki Chaihona №1
55.7581087|37.6091236|Pizza Peppe
55.7197017|37.7326089|Султан Palace
60.0370154|30.3577002|Лель
55.8241427|37.4968431|Бургер Кинг
55.8764120|37.4232109|Якитория
59.8138734|30.2997147|Пулково
55.7549850|37.5603383|Шинок
55.6176816|37.5088305|Принц Парк Отель
59.9335086|30.3112973|Токио-City
55.6590266|37.8449992|Киностар Нью-Йорк
59.9615115|30.2921823|Коржов
55.6657667|37.6287322|Вкусно — и точка
55.6864853|37.5469883|Линдерхоф
59.8637892|30.4037717|Вкусно — и точка
55.7021609|37.5318986|
59.7443644|30.5828943|Центральная районная библиотека им. М.А.Светлова
55.6475661|37.6048627|Колбасофф
59.9303770|30.3668044|Север-Метрополь
59.8830471|29.8349955|Петергоф-Авто
55.7669878|37.6400865|Сретенский бульвар
55.6417885|37.5242809|Якитория
55.8057741|37.5141252|Максима пицца
55.8096520|37.4605989|Якитория
55.7714124|37.6790174|Му-Му
55.7505593|37.7102095|Detailing Bar
55.8357449|37.3863072|Якитория
55.7877041|37.8848510|Лукойл
59.9345740|30.3377731|Rostic's
55.7921958|37.6278104|Детская библиотека им. Грибоедова
55.7997611|37.4828133|Колбасофф
55.6122238|37.7181004|Вкусно — и точка
55.7830070|37.7202430|Му-Му
59.8523086|30.2679437|Rostic`s
59.9272848|30.3173030|Checafe
59.9608607|30.3067921|The Wall
55.7576901|37.6342989|Вкусно — и точка
55.8985586|37.5951260|Автограф
55.6820207|37.7795918|Автоцентр Люблино
55.8642763|37.5853859|Погости.ру
55.9071260|37.7184053|Lecco
55.7955236|37.6163058|Марьина Роща
55.7815096|37.6150933|Достоевская
59.9352302|30.3353547|Бюро
55.8190530|37.3879520|Пожарскаго Трактир
59.9252977|30.2882979|
59.9884977|30.2017883|Mama Roma
60.0378528|30.3207297|Rostic`s
59.8636787|30.2818399|Автостиль
59.8631597|30.2828736|Росспан
59.9332138|30.2531682|Skuratov Coffee
59.9586136|30.3346601|Вкус Розмарина
55.7486687|37.5994629|Чемодан
55.7678741|37.6139496|Ла Маре
55.7552843|37.6006938|Жан-Жак
55.7540486|37.6014528|Домжур
59.7249226|30.4062582|Евразия
59.9296689|30.3445379|Чайный Дом
59.9458364|30.2367985|Ми Фан
55.7191866|37.4217952|Улица Гришина
59.8299495|30.3820927|Бургер Кинг
55.8369012|37.6379496|Байкал
55.8354417|37.6431727|ХостелРус ВДНХ
55.6932599|37.5336446|Шоколадница
55.7276320|37.5803116|Вкусно — и точка
55.8461495|37.4387397|Шоколадница
55.7772874|37.5208653|Вкусно — и точка
59.9332975|30.3229252|Сулико
59.8531162|30.2198520|Бургер Кинг
59.9245290|30.3215758|Kimchi to go
60.0589545|30.3374470|Теремок
55.7264249|37.5791868|Будь здоров
55.8216614|37.9694597|Оптимист
55.8230152|37.9695967|
59.9947715|29.7640705|Евразия
59.9291782|30.3125395|Шумли
59.9276112|30.3084269|Все твои друзья
60.0581192|30.3355033|М.Видео
59.9311455|30.3549322|Столовая №1
59.9424608|30.2772993|Бизнес-центр «Магнус»
55.6883768|37.5732294|Такэ
55.7422322|37.4188705|Якитория
55.8081589|37.6384319|Му-Му
55.8099676|37.6365805|Вкусно — и точка
59.9423132|30.2792247|Мегафон
59.9421750|30.2759711|Rostic`s
59.9382053|30.2780965|KwakInn
59.9419130|30.2753379|Бургер Кинг
55.5415090|37.5365030|Санта-Пицца
59.8931891|30.5148040|Вкусно — и точка
59.9368729|30.2828245|И пинь
59.9374408|30.2822576|Vasilievsky hotel
59.8385586|29.8783695|Грин Отель
59.9677860|30.3123264|Pita's
59.9664797|30.3105357|Момо
59.8586217|30.4790891|Винтаж
59.8479063|30.3831712|Чаман
55.7737934|37.5860675|Булка
60.0014125|30.2993372|Beer House
59.8467866|30.3834821|Библиотека имени А. А. Прокофьева
59.8758227|30.3734207|Детская библиотека имени В. Г. Короленко
59.8511419|30.2340852|Union
56.0156585|37.4798336|СССР
59.9995668|30.2927605|Токио-City
59.9865670|30.3046885|
59.9470463|30.3832037|Шаляпин
55.7639264|37.6460190|Траттория Semplice
55.8846736|37.6011089|Якитория
59.7089634|30.4078393|Шаурма
60.0504613|30.3441575|Тан Жен
59.9579485|30.3342386|Чердак
59.9338636|30.3549097|Слой
55.9135639|37.8681911|Якитория
55.8852779|37.4031399|Вианор сервис маркет
55.7947643|37.6996631|Трамвайное депо имени Русакова
60.0913800|30.3797354|Вкусно — и точка
55.9129816|37.5723995|Бургер Кинг
59.9306327|30.3179428|Стирка 40°
55.7928835|37.4939148|Rostic's
59.9593605|30.2884475|КинZa
55.8706858|37.6403396|Якитория
59.8825338|30.4590614|АМК-Хауз
55.7080597|37.6223109|Этаж
55.7094830|37.6223537|Кофе Хауз
59.9127416|30.3447723|Курская 10
