lat,lon,name,value
55.7381678,37.6171996,Полянка,1
55.6529025,37.5984294,Каховская,1
59.9620935,30.3056717,Теремок,1
55.6675564,37.6585425,Вкусно — и точка,1
59.966808,30.3110293,Вкусно — и точка,1
59.966663,30.3114102,Rostic`s,1
55.659739,37.7506688,Братиславская,1
59.9576695,30.3080406,Тбилисо,1
55.6772263,37.5060642,Проспект Вернадского,1
55.7654281,37.6074165,Пушкинская,1
55.7806261,37.6194895,Славянка,1
55.6424926,37.361208,Тануки,1
55.8851057,37.6023619,Вкусно — и точка,1
55.7898682,37.7656104,Лукойл,1
55.7175439,37.6081274,"Библиотека 164 ""Просвещение трудящихся""",1
60.0197539,30.6466614,Кинополис,1
55.7415156,37.5376119,Альфа-Банк,1
60.0588683,30.3373775,Rostic's,1
59.9001432,30.2721387,Вкусно — и точка,1
59.9305504,30.3726392,Тара Бруч,1
55.5096769,37.8342611,Лукойл,1
59.851796,30.3508779,Вкусно — и точка,1
59.9945009,30.147885,Вкусно — и точка,1
60.0081631,30.2971914,Вкусно — и точка,1
60.011085,30.3967954,Вкусно — и точка,1
55.7412838,37.6273084,Третьяковская,1
55.7715816,37.6814166,Вкусно — и точка,1
59.9091262,30.4791166,Munhell,1
55.8653693,37.7040352,Кофе Хауз,1
55.8091793,37.5051775,У Адама,1
55.7576428,37.6586654,Кофе Хауз,1
55.8599013,37.6590427,Бирлайн,1
59.9902475,30.256801,,1
55.5484151,37.5428667,Вкусно — и точка,1
55.7304479,37.6342593,Гудман,1
55.7305169,37.6352842,Шоколадница,1
60.0293388,30.3988145,Мацони,1
59.9666872,30.2849134,ЕвроАвто,1
55.795578,37.7008858,Пиро Тренд,1
59.8474233,30.3305132,PulkoffClub,1
55.7897921,37.6809206,Му-Му,1
60.0113861,30.3945728,Beer House,1
55.5836505,37.5990211,Вкусно — и точка,1
55.8879388,37.6627264,Вкусно — и точка,1
55.8603061,37.4483248,Легенда,1
55.7399858,37.6638747,Колбасофф,1
55.8457543,37.3622259,Митино,1
55.660414,37.7518664,Киномакс Солярис,1
55.8020796,37.5081211,Vasilchuki Chaihona №1,1
55.7581087,37.6091236,Pizza Peppe,1
55.7197017,37.7326089,Султан Palace,1
60.0370154,30.3577002,Лель,1
55.8241427,37.4968431,Бургер Кинг,1
55.876412,37.4232109,Якитория,1
59.8138734,30.2997147,Пулково,1
55.754985,37.5603383,Шинок,1
55.6176816,37.5088305,Принц Парк Отель,1
59.9335086,30.3112973,Токио-City,1
55.6590266,37.8449992,Киностар Нью-Йорк,1
59.9615115,30.2921823,Коржов,1
55.6657667,37.6287322,Вкусно — и точка,1
55.6864853,37.5469883,Линдерхоф,1
59.8637892,30.4037717,Вкусно — и точка,1
55.7021609,37.5318986,,1
59.7443644,30.5828943,Центральная районная библиотека им. М.А.Светлова,1
55.6475661,37.6048627,Колбасофф,1
59.930377,30.3668044,Север-Метрополь,1
59.8830471,29.8349955,Петергоф-Авто,1
55.7669878,37.6400865,Сретенский бульвар,1
55.6417885,37.5242809,Якитория,1
55.8057741,37.5141252,Максима пицца,1
55.809652,37.4605989,Якитория,1
55.7714124,37.6790174,Му-Му,1
55.7505593,37.7102095,Detailing Bar,1
55.8357449,37.3863072,Якитория,1
55.7877041,37.884851,Лукойл,1
59.934574,30.3377731,Rostic's,1
55.7921958,37.6278104,Детская библиотека им. Грибоедова,1
55.7997611,37.4828133,Колбасофф,1
55.6122238,37.7181004,Вкусно — и точка,1
55.783007,37.720243,Му-Му,1
59.8523086,30.2679437,Rostic`s,1
59.9272848,30.317303,Checafe,1
59.9608607,30.3067921,The Wall,1
55.7576901,37.6342989,Вкусно — и точка,1
55.8985586,37.595126,Автограф,1
55.6820207,37.7795918,Автоцентр Люблино,1
55.8642763,37.5853859,Погости.ру,1
55.907126,37.7184053,Lecco,1
55.7955236,37.6163058,Марьина Роща,1
55.7815096,37.6150933,Достоевская,1
59.9352302,30.3353547,Бюро,1
55.819053,37.387952,Пожарскаго Трактир,1
59.9252977,30.2882979,,1
59.9884977,30.2017883,Mama Roma,1
60.0378528,30.3207297,Rostic`s,1
59.8636787,30.2818399,Автостиль,1
59.8631597,30.2828736,Росспан,1
59.9332138,30.2531682,Skuratov Coffee,1
59.9586136,30.3346601,Вкус Розмарина,1
55.7486687,37.5994629,Чемодан,1
55.7678741,37.6139496,Ла Маре,1
55.7552843,37.6006938,Жан-Жак,1
55.7540486,37.6014528,Домжур,1
59.7249226,30.4062582,Евразия,1
59.9296689,30.3445379,Чайный Дом,1
59.9458364,30.2367985,Ми Фан,1
55.7191866,37.4217952,Улица Гришина,1
59.8299495,30.3820927,Бургер Кинг,1
55.8369012,37.6379496,Байкал,1
55.8354417,37.6431727,ХостелРус ВДНХ,1
55.6932599,37.5336446,Шоколадница,1
